HAMMERGASSE, 10;ATU-8761;PÖLS/OBERKURZHEIM;AT;0;0,117;0,1067;HELFRIED WALLNER
HAMMERGASSE 10;AT-8761;PölsOberkurzheim;AT;0;3,9281;0;OBJEKTFORM WALLNER KG
SPITTELWIESE 6;AT-4020;Linz;AT;0;3,72725;0;TAMTAM TSCHERNITZ & ROITHER OG
#N/A;#N/A;#N/A;#N/A;289,91972;266,53087;55,6103;Bélgica
#N/A;#N/A;#N/A;#N/A;7,97245;3,3883;0;BELGICA
RUE ANDRÉ MATHYS, 32;BE-1350;Noduwez;BE;4,68895;0,5256;0;ARANHA SRPL
PYCKESTRAAT 48A;BE-2018;Antwerpen;BE;0;2,8627;0;BVBA BOWLING
Sneeuwbeslaan, 14;BE-2610;Wilrijk;BE;3,2835;0;0;CONTI7 S.A.
RUE GEORGES COSSE 16;BE-5380;FERNELMONT;BE;0;0;0;SA BRASSERIE DELSART
#N/A;#N/A;#N/A;#N/A;281,94727;263,14257;55,6103;BÉLGICA
#N/A;#N/A;#N/A;#N/A;31,5454;0;0;ASTRANOVA B.V.
DESTELBERGENSTRAAT 28-34;BE-9040;Gent;BE;0;38,7207;12,3804;ASTRANOVA B.V., SRL
Assesteenweg, 107;BE-1750;Lennik;BE;1;0;0;BV ALEX & CHRIS 
14-16, RUE PIERRE GASSÉE ;BE-1080;Bruxelles;BE;0;28,38273;5,3132;D-SIGN MANAGEMENT, SPRL
RUE DE FRANCE, 7;BE-4280;HANNUT;BE;77,0762;3,772;0;ENERGY DISTRIBUTION NV
SPARRESTRAAT, 8;BR-8890;Moorslede;BE;45,30415;49,31639;1,5744;HILMA NV
KEEP IT SIMPLE SERVICES SPRL;BE-1325;CORROY-LE-GRAND;BE;0;0,5364;0;KEEP IT SIMPLE SERVICES SPRL
#N/A;#N/A;#N/A;#N/A;7,08453;17,2953;0;LEPAGE MOBILIERS SPRL
ZONING INDUSTRIEL MARTINROU;BE-6220;Fleurus;BE;0;0;12,3351;LEPAGE MOBILIERS SRL
STATIONSSTRAAT, 176;BE-8850;Ardooie;BE;11,899;8,69215;0;NV METAFOX
AMBACHTENSTRAAT, 47;BE-8870;Izegem;BE;17,5529;7,1713;1,26;NV VANDECASTEELE MARC & C
#N/A;#N/A;#N/A;#N/A;22,44704;0;0;SPRL D-SIGN MANAGEMENT
